EU-001;SV5;Dodecanese (Dodekanisos)
EU-002;OH0;Aland Islands
EU-003;CU1,2;Eastern group
EU-004;EA6;Balearic Islands
EU-005;G,GM,GW;Great Britain (Main Island Only)
EU-006;EI;Aran Islands
EU-007;EI;Blasket Islands
EU-008;GM,MM;Inner Hebrides
EU-009;GM,MM;Orkney
EU-010;GM,MM;Outer Hebrides
EU-011;G,M;Isles of Scilly
EU-012;GM,MM;Shetland & Fair Isle
EU-013;GJ,MJ;Jersey
EU-014;TK;Corsica (Corse) Island (Main Island Only)
EU-015;SV9;Crete (Kriti) Island (Main Island Only)
EU-016;9A;Dalmatia South group
EU-017;I*9;Eolie (Lipari) Islands
EU-018;OY;Faroe Islands
EU-019;R1F;Franz Josef Land
EU-020;SM1;Gotland County (Gotland Island) group
EU-021;TF;Iceland (Main Island Only)
EU-022;JX;Jan Mayen Island
EU-023;9H;Malta group
EU-024;I*0;Sardinia (Sardegna) (Main Island Only)
EU-025;I*9;Sicily (Sicilia) (Main Island Only)
EU-026;JW;Spitsbergen Island (Main Island Only)
EU-027;JW;Bear Island (Bjornoya)
EU-028;I*5;Toscana (Tuscany) Region group
EU-029;OZ;Sjaelland Archipelago
EU-030;OZ;Bornholm Island
EU-031;I*8;Campania Region group
EU-032;F;Poitou-Charentes Region group
EU-033;LA;Vesteralen Islands
EU-034;ES0,3;Hiiumaa/Saaremaa/Laanemaa County group
EU-035;R1O;Novaya Zemlya
EU-036;LA;Sor-Trondelag/More Og Romsdal County North
EU-037;SM7;Kalmar County group
EU-038;PA;Noord Holland/Friesland/Groningen Prov
EU-039;F;Chausey Islands
EU-040;CT;Estremadura Province group
EU-041;I*0;Maddalena Archipelago
EU-042;DL;Schleswig-Holstein State North West group
EU-043;SM6;Goteborg Och Bohus/Halland County group
EU-044;LA;Finnmark County West group
EU-045;I*0;Lazio Region group
EU-046;LA;Troms County group
EU-047;DL;Niedersachsen State group
EU-048;F;Bretagne (Morbihan) Region group
EU-049;SV;North Aegean Islands
EU-050;I*7;Puglia (Foggia) Region group
EU-051;I*9;Ustica Island
EU-052;SV;Ipeiros/Dytiki Ellas Region group
EU-053;OJ0,SM;Market Reef
EU-054;I*9;Egadi Islands
EU-055;LA;Sogn og Fjordane etc County group
EU-056;LA;More Og Romsdal County Centre group
EU-057;DL;Mecklenburg-Vorpommern State group
EU-058;F;Provence-Cote D'Azur (Alpes-Marit) Region
EU-059;GM,MM;St Kilda
EU-060;SV;Sterea Ellas Region group
EU-061;LA;Vest Agder To Ostfold County group
EU-062;LA;Nordland/Nord-Trondelag County group
EU-063;JW;Spitsbergen's Coastal Islands
EU-064;F;Pays De La Loire Region group
EU-065;F;Bretagne (Finistere North West) Region grp
EU-066;R1O;Solovetskiye Islands
EU-067;SV;Kyklades (Cyclades)
EU-068;F;Bretagne (Finistere South West) Region grp
EU-069;EA5;Columbretes Islands
EU-070;F;Provence-Cote D'Azur (Var) Region group
EU-071;TF7;Vestmannaeyjar (Westman Islands)
EU-072;SV;Thessalia Region group
EU-073;I*7;Puglia (Taranto) Region group
EU-074;F;Bretagne (Cotes-D'Armor Centre) Region group
EU-075;SV;Peloponnisos (Argolis)/Attiki Region group
EU-076;LA;Lofoten Islands
EU-077;EA1;La Coruna/Lugo Province group
EU-078;EA3;Gerona Province group
EU-079;LA;More Og Romsdal County South group
EU-080;EA1;Pontevedra Province group
EU-081;F;Basse-Normandie (Manche East) Region group
EU-082;R1Z;Barents Sea Coast West group
EU-083;I*1;Liguria Region group
EU-084;SM5,0;Uppsala/Stockholm County group
EU-085;R1P;Kolguev Island
EU-086;R1P;Pechorskoye Sea Coast East group
EU-087;SM3;Vasternorrland County group
EU-088;OZ;Kattegat group
EU-089;CU8,9;Western group
EU-090;9A;Palagruza Island
EU-091;I*7;Puglia (Lecce/Brindisi/Bari) Region group
EU-092;GM,MM;Summer Isles
EU-093;EA5;Alicante/Murcia Province group
EU-094;F;Bretagne (Finistere South) Region group
EU-095;F;Provence-Cote D'Azur (Bouches-Du-Rhone)
EU-096;OH1;Lansi-Suomi (Turku) Province group
EU-097;OH2;Etela-Suomi (Uusimaa) Province group
EU-098;DL;Mecklenburg-Vorpommern State West Group - to be deleted in 2005
EU-099;GJ,MJ;Les Minquiers Islands
EU-100;TK;Cerbicales Islands
EU-101;OH6;Lansi-Suomi (Vaasa) Province group
EU-102;R1P;Pechorskoye Sea Coast Centre group
EU-103;EI;Saltee Islands
EU-104;TK;Sanguinaires Islands
EU-105;F;Bretagne (Finistere North) Region group
EU-106;GW,MW;St Tudwal's Islands
EU-107;F;Bretagne (Cotes-D'Armor West) Region grp
EU-108;GM,MM;Treshnish Isles
EU-109;G,M;Farne Islands
EU-110;9A;Istra group
EU-111;GM,MM;Monach Islands
EU-112;GM,MM;Shiant Islands
EU-113;SV;Peloponnisos (Lakonia)/Kythira Region grp
EU-114;GU,MU;Guernsey group
EU-115;EI,GI,MI;Ireland
EU-116;GD,MD;Isle of Man
EU-117;R1M,OH;Malyy Vysotskiy Island
EU-118;GM,MM;Flannan Isles
EU-119;R1O;White Sea Coast East group
EU-120;G,M;English Coastal Islands
EU-121;EI;Irish Coastal Islands
EU-122;GI,MI;Northern Irish Coastal Islands
EU-123;GM,MM;Scottish Coastal Islands
EU-124;GW,MW;Welsh Coastal Islands
EU-125;OZ;Jylland West group
EU-126;OH9;Lappi Province group
EU-127;DL;Schleswig-Holstein State South West group
EU-128;DL;Schleswig-Holstein State East group
EU-129;DL,SP1;Usedom (Uznam) Island
EU-130;I*3;Friuli-Venezia Giulia Region group
EU-131;I*3;Veneto Region group
EU-132;SP1;Szczecin/Koszalin Province group
EU-133;R1A-C;Gulf of Finland group
EU-134;EA2;Bilbao/San Sebastian (Basque) Province grp
EU-135;SM2;Vasterbotten County group
EU-136;9A;Kvarner group
EU-137;SM7;Skane County group
EU-138;SM7;Blekinge County group
EU-139;SM2;Norrbotten County group
EU-140;OH5;Etela-Suomi (Kymi) Province group
EU-141;LA;Finnmark County East group
EU-142;EA1;Oviedo/Santander Province group
EU-143;EA7;Cadiz/Huelva Province group
EU-144;I*8;Calabria/Basilicata Region group
EU-145;CT;Algarve Province group
EU-146;PA;Zuid Holland/Zeeland Province group
EU-147;R1N;White Sea Coast group
EU-148;F;Languedoc-Roussillon Region group
EU-149;ES1,2,4;Tallinn & Harjumaa/Virumaa County group
EU-150;CT;Minho/Douro Lit/Beira Litoral Province grp
EU-151;EA5;Castellon/Valencia Province group
EU-152;EA7;Almeria/Granada/Malaga Province group
EU-153;R1O;White Sea Coast West group
EU-154;EA3;Barcelona/Tarragona Province group - to be deleted 2005
EU-155;I*4;Emilia Romagna Region group
EU-156;F;Basse-Normandie (Manche West) Region grp
EU-157;F;Bretagne (Cotes-D'Armor East etc) Region
EU-158;SV;Peloponnisos (Messinia) Region group
EU-159;F;Aquitaine Region group
EU-160;R1P;Barents Sea Coast group
EU-161;R1Z;Barents Sea Coast East group
EU-162;R1Z;White Sea Coast group
EU-163;YU;Montenegro group
EU-164;TK;Corsica's Coastal Islands
EU-165;I*0;Sardinia's Coastal Islands
EU-166;I*9;Sicily's Coastal Islands
EU-167;CT;Baixo Alentejo Province group
EU-168;TF;Iceland's Coastal Islands
EU-169;ZA;Albania group
EU-170;9A;Dalmatia North Group
EU-171;OZ;Jylland North Group
EU-172;OZ;Jylland East and Fyn Group
EU-173;OH1;Lansi-Suomi (Pori) Province Group
EU-174;SV;Makedonia/Thraki Region Group
EU-175;CU3-7;Azores Central Group
EU-176;SM3;Gavleborg County Group
EU-177;SM5;Sodermanland/Ostergotland County Group
EU-178;ES0,8;Parnumaa County / Saaremaa County South Group
EU-179;UR;Mykolayivs'ka/Khersons'ka Oblast (Black Sea Coast Group) Ukraine
EU-180;UR;Respublika Krym (Black Sea Coast Group) Ukraine
EU-181;LZ;Bulgaria group
EU-182;UR;Odes'ka Oblast (Black Sea Coast Group)
EU-183;YO;Romania Group
EU-184;OH;Oulu Province Group
EU-185;R6A-D;Krasnodarskiy Kray (Black Sea Coast Group) Russia
EU-186;TA;European Turkey Group
EU-187;SV9;Crete's Coastal Islands
EU-188;R1P;Pechorskoye Sea Coast West group (Russian Federation)
AF-001;3B6;Agalega Islands
AF-002;FT*Z;Amsterdam & St Paul Islands
AF-003;ZD8;Ascension Island
AF-004;EA8;Canary Islands
AF-005;D4;Leeward Islands
AF-006;VQ9;Diego Garcia Island
AF-007;D6;Comoro Islands
AF-008;FT*W;Crozet Islands
AF-009;FR/E;Europa Island
AF-010;3C;Bioco (Fernando Poo) Island
AF-011;FR/G;Glorioso Islands
AF-012;FR/J;Juan De Nova Island
AF-013;5R;Madagascar (Main Island Only)
AF-014;CT3;Madeira Archipelago
AF-015;3B7;Saint Brandon Islands
AF-016;FR;Reunion Island
AF-017;3B9;Rodrigues Island
AF-018;IH9;Pantelleria Island
AF-019;IG9;Pelagie Islands
AF-020;J5;Bijagos Archipelago
AF-021;ZS8;Prince Edward & Marion Islands
AF-022;ZD7;St Helena Island
AF-023;S9;Sao Tome Island
AF-024;S7;Inner Islands
AF-025;S7;Aldabra Islands
AF-026;S7;Cosmoledo Islands
AF-027;FH;Mayotte Island
AF-028;7O;Socotra group
AF-029;ZD9;Tristan Da Cunha Islands
AF-030;ZD9;Gough Island
AF-031;FR/T;Tromelin Island
AF-032;5H;Zanzibar Island
AF-033;S7;Amirante Islands
AF-034; ;Deleted
AF-035;S7;Farquhar Islands
AF-036;EA9;Chafarinas Islands
AF-037;9L;Northern/Western Province group
AF-038;E3;Dahlak Archipelago
AF-039;3C0;Annobon (Pagalu) Island
AF-040;5Z;Coast Province North group
AF-041;VQ9;Egmont group
AF-042;EA9;Alboran Island
AF-043;TR;Estuaire Province group
AF-044;S9;Principe Island
AF-045;6W;Senegal North group
AF-046;CT3;Desertas Islands
AF-047;CT3;Selvagens Islands
AF-048;FT*X;Kerguelen Islands
