January 2005 Edition                                  
Current Entities Total: 335                         


The ARRL DXCC List is also available from our Publication Sales Department 
for $5 US; $7 foreign.  In addition to the List, the paper copy includes: 
the DXCC rules, DXCC Award Application, ARRL DXCC Card Checkers, Incoming 
and Outgoing QSL Bureau information and more.


                                ARRL DXCC LIST
                             
   ALL ENTITIES ON THE CURRENT LIST ARE ELIGIBLE FOR FIELD CHECKING

                             
NOTE: * INDICATES CURRENT LIST OF ENTITIES FOR WHICH QSLs MAY BE FORWARDED 
        BY THE ARRL MEMBERSHIP OUTGOING QSL SERVICE.
                             
NOTE: # INDICATES ENTITIES WITH WHICH U.S. AMATEURS MAY LEGALLY HANDLE 
        THIRD-PARTY MESSAGE TRAFFIC.


NOTE: & Third-party traffic permitted with special-events stations in the 
        United Kingdom having the prefix GB only, with the exception that 
        GB3 stations are not included in this agreement.                
                    
                                                            ZONE
     Prefix         Entity              Cont.     ITU   CQ
    
    (1)             Spratly Is.     AS        50   26
    1A0(1)          Sov. Mil. Order of Malta EU        28   15
    3A*             Monaco             EU        27   14
    3B6, 7*         Agalega & St. Brandon Is.   AF        53   39
    3B8             Mauritius            AF        53   39
    3B9*            Rodrigues I.      AF        53   39
    3C              Equatorial Guinea   AF        47   36
    3C0             Annobon I.         AF        52   36
    3D2*            Fiji                      OC        56   32
    3D2*       Conway Reef     OC        56   32
    3D2*            Rotuma I.            OC        56   32
    3DA#            Swaziland           AF        57   38
    3V*             Tunisia             AF        37   33
    3W, XV    Vietnam            AS        49   26
    3X              Guinea                   AF        46   35
    3Y*             Bouvet                   AF        67   38
    3Y*             Peter I I.              AN        72   12
    4J, 4K*         Azerbaijan   AS        29   21
    4L*             Georgia                   AS        29   21
    4P-4S*          Sri Lanka       AS        41   22
    4U_ITU#*     ITU HQ          EU        28   14
    4U_UN*          United Nations HQ           NA        08   05
    4W (44)         Timor - Leste         OC        54   28
    4X, 4Z#*        Israel               AS        39   20
    5A              Libya                    AF        38   34
    5B*             Cyprus    AS        39   20
    5H-5I*          Tanzania  AF        53   37
    5N-5O*          Nigeria   AF        46   35
    5R-5S           Madagascar     AF        53   39
    5T(2)           Mauritania   AF        46   35
    5U(3)           Niger          AF        46   35
    5V              Togo     AF        46   35
    5W*             Samoa            OC        62   32
    5X*             Uganda          AF        48   37
    5Y-5Z*        Kenya                 AF        48   37
    6V-6W(4)*     Senegal             AF       46   35
    6Y#*            Jamaica            NA        11   08
    7O(5)           Yemen                 AS        39   21
    7P              Lesotho AF        57   38
    7Q              Malawi          AF        53   37
    7T-7Y*          Algeria          AF        37   33
    8P*             Barbados     NA        11   08
    8Q              Maldives               AS/AF     41   22
    8R#*            Guyana                   SA        12   09
    9A(6)*          Croatia     EU        28   15
